image_path,label
benign/benign (179).png,benign
benign/benign (155).png,benign
benign/benign (145).png,benign
benign/benign (152).png,benign
benign/benign (12).png,benign
benign/benign (258).png,benign
benign/benign (176).png,benign
benign/benign (370).png,benign
benign/benign (294).png,benign
benign/benign (150).png,benign
benign/benign (90).png,benign
benign/benign (95).png,benign
benign/benign (383).png,benign
benign/benign (159).png,benign
benign/benign (213).png,benign
benign/benign (185).png,benign
benign/benign (293).png,benign
benign/benign (289).png,benign
benign/benign (418).png,benign
benign/benign (5).png,benign
benign/benign (354).png,benign
benign/benign (393).png,benign
benign/benign (352).png,benign
benign/benign (209).png,benign
benign/benign (202).png,benign
benign/benign (305).png,benign
benign/benign (3).png,benign
benign/benign (78).png,benign
benign/benign (161).png,benign
benign/benign (306).png,benign
benign/benign (189).png,benign
benign/benign (60).png,benign
benign/benign (165).png,benign
benign/benign (250).png,benign
benign/benign (101).png,benign
benign/benign (38).png,benign
benign/benign (22).png,benign
benign/benign (178).png,benign
benign/benign (313).png,benign
benign/benign (382).png,benign
benign/benign (330).png,benign
benign/benign (247).png,benign
benign/benign (373).png,benign
benign/benign (307).png,benign
benign/benign (242).png,benign
benign/benign (131).png,benign
benign/benign (93).png,benign
benign/benign (146).png,benign
benign/benign (130).png,benign
benign/benign (221).png,benign
benign/benign (164).png,benign
benign/benign (216).png,benign
benign/benign (140).png,benign
benign/benign (70).png,benign
benign/benign (42).png,benign
benign/benign (180).png,benign
benign/benign (225).png,benign
benign/benign (263).png,benign
benign/benign (46).png,benign
benign/benign (35).png,benign
benign/benign (97).png,benign
benign/benign (334).png,benign
benign/benign (241).png,benign
benign/benign (348).png,benign
benign/benign (390).png,benign
benign/benign (144).png,benign
benign/benign (226).png,benign
benign/benign (424).png,benign
benign/benign (342).png,benign
benign/benign (89).png,benign
benign/benign (121).png,benign
benign/benign (170).png,benign
benign/benign (69).png,benign
benign/benign (272).png,benign
benign/benign (154).png,benign
benign/benign (94).png,benign
benign/benign (376).png,benign
benign/benign (212).png,benign
benign/benign (266).png,benign
benign/benign (345).png,benign
benign/benign (207).png,benign
benign/benign (39).png,benign
benign/benign (270).png,benign
benign/benign (427).png,benign
benign/benign (51).png,benign
benign/benign (210).png,benign
benign/benign (107).png,benign
benign/benign (278).png,benign
benign/benign (86).png,benign
benign/benign (27).png,benign
benign/benign (254).png,benign
benign/benign (343).png,benign
benign/benign (67).png,benign
benign/benign (199).png,benign
benign/benign (273).png,benign
benign/benign (204).png,benign
benign/benign (54).png,benign
benign/benign (157).png,benign
benign/benign (231).png,benign
benign/benign (218).png,benign
benign/benign (160).png,benign
benign/benign (262).png,benign
benign/benign (32).png,benign
benign/benign (73).png,benign
benign/benign (128).png,benign
benign/benign (282).png,benign
benign/benign (292).png,benign
benign/benign (171).png,benign
benign/benign (232).png,benign
benign/benign (77).png,benign
benign/benign (385).png,benign
benign/benign (214).png,benign
benign/benign (408).png,benign
benign/benign (11).png,benign
benign/benign (66).png,benign
benign/benign (134).png,benign
benign/benign (21).png,benign
benign/benign (287).png,benign
benign/benign (110).png,benign
benign/benign (410).png,benign
benign/benign (65).png,benign
benign/benign (62).png,benign
benign/benign (75).png,benign
benign/benign (7).png,benign
benign/benign (8).png,benign
benign/benign (416).png,benign
benign/benign (227).png,benign
benign/benign (359).png,benign
benign/benign (15).png,benign
benign/benign (56).png,benign
benign/benign (76).png,benign
benign/benign (228).png,benign
benign/benign (40).png,benign
benign/benign (193).png,benign
benign/benign (163).png,benign
benign/benign (320).png,benign
benign/benign (365).png,benign
benign/benign (244).png,benign
benign/benign (100).png,benign
benign/benign (269).png,benign
benign/benign (98).png,benign
benign/benign (364).png,benign
benign/benign (234).png,benign
benign/benign (405).png,benign
benign/benign (252).png,benign
benign/benign (351).png,benign
benign/benign (297).png,benign
benign/benign (188).png,benign
benign/benign (245).png,benign
benign/benign (201).png,benign
benign/benign (411).png,benign
benign/benign (402).png,benign
benign/benign (371).png,benign
benign/benign (435).png,benign
benign/benign (174).png,benign
benign/benign (246).png,benign
benign/benign (114).png,benign
benign/benign (20).png,benign
benign/benign (387).png,benign
benign/benign (119).png,benign
benign/benign (200).png,benign
benign/benign (304).png,benign
benign/benign (181).png,benign
benign/benign (323).png,benign
benign/benign (431).png,benign
benign/benign (329).png,benign
benign/benign (321).png,benign
benign/benign (388).png,benign
benign/benign (222).png,benign
benign/benign (28).png,benign
benign/benign (219).png,benign
benign/benign (104).png,benign
benign/benign (208).png,benign
benign/benign (26).png,benign
benign/benign (268).png,benign
benign/benign (168).png,benign
benign/benign (392).png,benign
benign/benign (414).png,benign
benign/benign (362).png,benign
benign/benign (106).png,benign
benign/benign (295).png,benign
benign/benign (91).png,benign
benign/benign (394).png,benign
benign/benign (279).png,benign
benign/benign (381).png,benign
benign/benign (423).png,benign
benign/benign (49).png,benign
benign/benign (105).png,benign
benign/benign (191).png,benign
benign/benign (63).png,benign
benign/benign (248).png,benign
benign/benign (148).png,benign
benign/benign (147).png,benign
benign/benign (264).png,benign
benign/benign (338).png,benign
benign/benign (341).png,benign
benign/benign (239).png,benign
benign/benign (125).png,benign
benign/benign (229).png,benign
benign/benign (318).png,benign
benign/benign (61).png,benign
benign/benign (132).png,benign
benign/benign (211).png,benign
benign/benign (85).png,benign
benign/benign (9).png,benign
benign/benign (18).png,benign
benign/benign (407).png,benign
benign/benign (420).png,benign
benign/benign (325).png,benign
benign/benign (353).png,benign
benign/benign (19).png,benign
benign/benign (281).png,benign
benign/benign (404).png,benign
benign/benign (311).png,benign
benign/benign (290).png,benign
benign/benign (142).png,benign
benign/benign (285).png,benign
benign/benign (346).png,benign
benign/benign (87).png,benign
benign/benign (349).png,benign
benign/benign (265).png,benign
benign/benign (379).png,benign
benign/benign (31).png,benign
benign/benign (116).png,benign
benign/benign (133).png,benign
benign/benign (308).png,benign
benign/benign (96).png,benign
benign/benign (335).png,benign
benign/benign (172).png,benign
benign/benign (103).png,benign
benign/benign (395).png,benign
benign/benign (183).png,benign
benign/benign (369).png,benign
benign/benign (386).png,benign
benign/benign (356).png,benign
benign/benign (429).png,benign
benign/benign (366).png,benign
benign/benign (238).png,benign
benign/benign (315).png,benign
benign/benign (324).png,benign
benign/benign (156).png,benign
benign/benign (224).png,benign
benign/benign (319).png,benign
benign/benign (68).png,benign
benign/benign (43).png,benign
benign/benign (433).png,benign
benign/benign (243).png,benign
benign/benign (122).png,benign
benign/benign (169).png,benign
benign/benign (255).png,benign
benign/benign (298).png,benign
benign/benign (197).png,benign
benign/benign (316).png,benign
benign/benign (340).png,benign
benign/benign (267).png,benign
benign/benign (368).png,benign
benign/benign (249).png,benign
benign/benign (44).png,benign
benign/benign (363).png,benign
benign/benign (124).png,benign
benign/benign (30).png,benign
benign/benign (123).png,benign
benign/benign (158).png,benign
benign/benign (415).png,benign
benign/benign (337).png,benign
benign/benign (10).png,benign
benign/benign (251).png,benign
benign/benign (166).png,benign
benign/benign (1).png,benign
benign/benign (83).png,benign
benign/benign (192).png,benign
benign/benign (301).png,benign
benign/benign (412).png,benign
benign/benign (277).png,benign
benign/benign (153).png,benign
benign/benign (55).png,benign
benign/benign (260).png,benign
benign/benign (92).png,benign
benign/benign (257).png,benign
benign/benign (314).png,benign
benign/benign (2).png,benign
benign/benign (399).png,benign
benign/benign (81).png,benign
benign/benign (223).png,benign
benign/benign (375).png,benign
benign/benign (436).png,benign
benign/benign (397).png,benign
benign/benign (350).png,benign
benign/benign (426).png,benign
benign/benign (59).png,benign
benign/benign (6).png,benign
benign/benign (284).png,benign
benign/benign (129).png,benign
benign/benign (271).png,benign
benign/benign (240).png,benign
benign/benign (196).png,benign
benign/benign (198).png,benign
benign/benign (33).png,benign
benign/benign (398).png,benign
benign/benign (400).png,benign
benign/benign (79).png,benign
benign/benign (57).png,benign
benign/benign (25).png,benign
benign/benign (47).png,benign
benign/benign (253).png,benign
malignant/malignant (136).png,malignant
malignant/malignant (55).png,malignant
malignant/malignant (114).png,malignant
malignant/malignant (76).png,malignant
malignant/malignant (198).png,malignant
malignant/malignant (13).png,malignant
malignant/malignant (113).png,malignant
malignant/malignant (47).png,malignant
malignant/malignant (24).png,malignant
malignant/malignant (133).png,malignant
malignant/malignant (2).png,malignant
malignant/malignant (20).png,malignant
malignant/malignant (14).png,malignant
malignant/malignant (74).png,malignant
malignant/malignant (5).png,malignant
malignant/malignant (148).png,malignant
malignant/malignant (63).png,malignant
malignant/malignant (3).png,malignant
