annotation_id,annotator,created_at,id,image,label,lead_time,updated_at
3,1,2026-04-06T11:43:00.393994Z,1,/data/upload/1/7a7b587a-malignant_99.png,"[{""points"":[[19.72,43.44],[28.34,43.84],[36.50,50.43],[34.87,46.46],[22.43,75.47],[19.72,43.44]],""closed"":true,""polygonlabels"":[""malignant""],""original_width"":783,""original_height"":587}]",19.986,2026-04-06T11:43:00.394009Z
4,1,2026-04-06T11:43:12.570797Z,2,/data/upload/1/b9e821e6-malignant_98.png,"[{""points"":[[28.34,43.84],[36.50,50.43],[45.00,55.00],[40.00,60.00],[30.00,55.00],[28.34,43.84]],""closed"":true,""polygonlabels"":[""malignant""],""original_width"":783,""original_height"":587}]",10.677,2026-04-06T11:43:12.570815Z
5,1,2026-04-06T11:43:46.301753Z,3,/data/upload/1/c316c9b4-malignant_97.png,"[{""points"":[[36.50,50.43],[40.00,58.00],[50.00,65.00],[45.00,70.00],[35.00,65.00],[36.50,50.43]],""closed"":true,""polygonlabels"":[""malignant""],""original_width"":783,""original_height"":587}]",51.449,2026-04-06T11:43:46.301770Z
6,1,2026-04-06T11:44:22.421633Z,4,/data/upload/1/5fccd9ba-malignant_96.png,"[{""points"":[[34.87,46.46],[42.00,50.00],[48.00,62.00],[43.00,65.00],[33.00,58.00],[34.87,46.46]],""closed"":true,""polygonlabels"":[""malignant""],""original_width"":783,""original_height"":587}]",34.908,2026-04-06T11:44:22.421649Z
7,1,2026-04-06T11:44:50.847295Z,5,/data/upload/1/b334cc95-malignant_95.png,"[{""points"":[[22.43,75.47],[30.00,80.00],[38.00,85.00],[35.00,90.00],[25.00,85.00],[22.43,75.47]],""closed"":true,""polygonlabels"":[""malignant""],""original_width"":783,""original_height"":587}]",26.626,2026-04-06T11:44:50.847314Z
8,1,2026-04-06T11:45:10.123456Z,6,/data/upload/1/6582490a-malignant_94.png,"[{""points"":[[15.00,20.00],[25.00,25.00],[35.00,30.00],[30.00,35.00],[20.00,30.00],[15.00,20.00]],""closed"":true,""polygonlabels"":[""malignant""],""original_width"":783,""original_height"":587}]",18.456,2026-04-06T11:45:10.123456Z
9,1,2026-04-06T11:45:30.654321Z,7,/data/upload/1/76d91012-benign_93.png,"[{""points"":[[40.00,45.00],[45.00,47.00],[50.00,52.00],[48.00,55.00],[42.00,52.00],[40.00,45.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",12.112,2026-04-06T11:45:30.654321Z
10,1,2026-04-06T11:45:50.987654Z,8,/data/upload/1/1a2b3c4d-benign_92.png,"[{""points"":[[50.00,55.00],[55.00,58.00],[60.00,62.00],[58.00,65.00],[52.00,62.00],[50.00,55.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",14.543,2026-04-06T11:45:50.987654Z
11,1,2026-04-06T11:46:10.111222Z,9,/data/upload/1/2b3c4d5e-benign_91.png,"[{""points"":[[60.00,65.00],[65.00,68.00],[70.00,72.00],[68.00,75.00],[62.00,72.00],[60.00,65.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",11.234,2026-04-06T11:46:10.111222Z
12,1,2026-04-06T11:46:30.333444Z,10,/data/upload/1/3c4d5e6f-benign_90.png,"[{""points"":[[20.00,86.00],[28.00,75.00],[38.00,81.00],[43.00,59.00],[44.00,51.00],[34.00,49.00],[25.00,47.00],[20.00,86.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",19.743,2026-04-06T11:46:30.333444Z
13,1,2026-04-06T11:46:50.555666Z,11,/data/upload/1/4d5e6f7a-benign_89.png,"[{""points"":[[30.00,35.00],[35.00,38.00],[40.00,42.00],[38.00,45.00],[32.00,42.00],[30.00,35.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",8.197,2026-04-06T11:46:50.555666Z
14,1,2026-04-06T11:47:10.777888Z,12,/data/upload/1/5e6f7a8b-benign_88.png,"[{""points"":[[10.00,15.00],[15.00,18.00],[20.00,22.00],[18.00,25.00],[12.00,22.00],[10.00,15.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",9.986,2026-04-06T11:47:10.777888Z
15,1,2026-04-06T11:47:30.999000Z,13,/data/upload/1/6f7a8b9c-benign_87.png,"[{""points"":[[45.00,50.00],[50.00,53.00],[55.00,57.00],[53.00,60.00],[47.00,57.00],[45.00,50.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",13.456,2026-04-06T11:47:30.999000Z
16,1,2026-04-06T11:47:51.111333Z,14,/data/upload/1/7a8b9c0d-benign_86.png,"[{""points"":[[55.00,60.00],[60.00,63.00],[65.00,67.00],[63.00,70.00],[57.00,67.00],[55.00,60.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",15.678,2026-04-06T11:47:51.111333Z
17,1,2026-04-06T11:48:11.333555Z,15,/data/upload/1/8b9c0d1e-benign_85.png,"[{""points"":[[65.00,70.00],[70.00,73.00],[75.00,77.00],[73.00,80.00],[67.00,77.00],[65.00,70.00]],""closed"":true,""polygonlabels"":[""benign""],""original_width"":783,""original_height"":587}]",17.890,2026-04-06T11:48:11.333555Z
